scenario,seed,model,noise_sigma,corruption_rate,imputer,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters
feature_corruption,42,GNB,0.0,0.0,mean,192,48,0.875,1.0,0.5,0.6666666666666666,0.75,0.0,0.0,baseline_clean_reused
feature_corruption,42,LR-Newton,0.0,0.0,median,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.0,0.0,baseline_clean_reused
feature_corruption,42,L2-LR,0.0,0.0,median,192,48,0.7708333333333334,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6527777777777778,0.0,0.0,baseline_clean_reused
feature_corruption,42,LDA,0.0,0.0,median,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.0,0.0,baseline_clean_reused
feature_corruption,42,GNB,0.0,0.0,median,192,48,0.875,1.0,0.5,0.6666666666666666,0.75,0.0,0.0,baseline_clean_reused
feature_corruption,42,LR-Newton,0.0,0.0,knn,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.0,0.0,baseline_clean_reused
feature_corruption,42,L2-LR,0.0,0.0,knn,192,48,0.7708333333333334,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6527777777777778,0.0,0.0,baseline_clean_reused
feature_corruption,42,LDA,0.0,0.0,knn,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.0,0.0,baseline_clean_reused
feature_corruption,42,GNB,0.0,0.0,knn,192,48,0.875,1.0,0.5,0.6666666666666666,0.75,0.0,0.0,baseline_clean_reused
feature_corruption,13,LR-Newton,0.0,0.1,mean,192,48,0.8333333333333334,0.75,0.5,0.6,0.7222222222222222,0.004250000001775334,0.06362152099609375,"{""n_iterations"": 8, ""tol"": 1e-06}"
feature_corruption,13,L2-LR,0.0,0.1,mean,192,48,0.8125,0.6666666666666666,0.5,0.5714285714285714,0.7083333333333333,0.005594700000074226,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
feature_corruption,13,LDA,0.0,0.1,mean,192,48,0.8333333333333334,0.75,0.5,0.6,0.7222222222222222,0.0010044000009656884,0.02974700927734375,{}
feature_corruption,13,GNB,0.0,0.1,mean,192,48,0.8958333333333334,1.0,0.5833333333333334,0.7368421052631579,0.7916666666666667,0.001281500000914093,0.02919769287109375,{}
feature_corruption,13,LR-Newton,0.0,0.1,median,192,48,0.8333333333333334,0.75,0.5,0.6,0.7222222222222222,0.0038650000024063047,0.06348419189453125,"{""n_iterations"": 8, ""tol"": 1e-06}"
feature_corruption,13,L2-LR,0.0,0.1,median,192,48,0.8125,0.6666666666666666,0.5,0.5714285714285714,0.7083333333333333,0.005581299999903422,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
feature_corruption,13,LDA,0.0,0.1,median,192,48,0.8333333333333334,0.75,0.5,0.6,0.7222222222222222,0.000975899998593377,0.02974700927734375,{}
feature_corruption,13,GNB,0.0,0.1,median,192,48,0.8958333333333334,1.0,0.5833333333333334,0.7368421052631579,0.7916666666666667,0.0011764000009861775,0.02919769287109375,{}
feature_corruption,13,LR-Newton,0.0,0.1,knn,192,48,0.875,0.875,0.5833333333333334,0.7,0.7777777777777778,0.003748500002984656,0.06348419189453125,"{""n_iterations"": 8, ""tol"": 1e-06}"
feature_corruption,13,L2-LR,0.0,0.1,knn,192,48,0.8125,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.7361111111111112,0.006294700000580633,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
feature_corruption,13,LDA,0.0,0.1,knn,192,48,0.8958333333333334,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.8194444444444444,0.001128900003095623,0.02974700927734375,{}
feature_corruption,13,GNB,0.0,0.1,knn,192,48,0.8958333333333334,1.0,0.5833333333333334,0.7368421052631579,0.7916666666666667,0.0015477999986615032,0.02919769287109375,{}
feature_corruption,42,LR-Newton,0.0,0.1,mean,192,48,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.6944444444444444,0.003993999998783693,0.06359100341796875,"{""n_iterations"": 8, ""tol"": 1e-06}"
