scenario,split_ratio,seed,model,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters
split_sensitivity,80/20,77,LDA,9600,2400,0.8116666666666666,0.6909090909090909,0.3944636678200692,0.5022026431718061,0.6692406154687612,0.008819299982860684,1.5784683227539062,{}
split_sensitivity,80/20,77,GNB,9600,2400,0.78875,0.6319702602230484,0.29411764705882354,0.4014167650531287,0.6198908762187642,0.007616499962750822,1.3996047973632812,{}
split_sensitivity,80/20,123,LR-Newton,9600,2400,0.8358333333333333,0.7473118279569892,0.4809688581314879,0.5852631578947368,0.7146886003061391,0.0856276000267826,3.2183380126953125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,80/20,123,L2-LR,9600,2400,0.8316666666666667,0.7416666666666667,0.4619377162629758,0.5692963752665245,0.7054474530820917,0.9252817999804392,1.6558818817138672,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,80/20,123,LDA,9600,2400,0.8191666666666667,0.7093023255813954,0.42214532871972316,0.5292841648590022,0.6836302933390054,0.00617090001469478,1.5784683227539062,{}
split_sensitivity,80/20,123,GNB,9600,2400,0.8,0.6737588652482269,0.328719723183391,0.4418604651162791,0.6391128802525078,0.006577999971341342,1.3996047973632812,{}
split_sensitivity,80/20,2026,LR-Newton,9600,2400,0.8391666666666666,0.7874251497005988,0.45501730103806226,0.5767543859649122,0.7080245670942232,0.041578900010790676,3.2183380126953125,"{""n_iterations"": 25, ""tol"": 1e-06}"
split_sensitivity,80/20,2026,L2-LR,9600,2400,0.8345833333333333,0.7819314641744548,0.4342560553633218,0.5583982202447164,0.6979183679670615,2.2697797999717295,1.6549758911132812,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}"
split_sensitivity,80/20,2026,LDA,9600,2400,0.8245833333333333,0.7540453074433657,0.4031141868512111,0.5253664036076663,0.6807008914497549,0.008910099975764751,1.5784683227539062,{}
split_sensitivity,80/20,2026,GNB,9600,2400,0.8041666666666667,0.7109375,0.314878892733564,0.4364508393285372,0.6371320918113484,0.009199700027238578,1.3996047973632812,{}
