scenario,split_ratio,seed,model,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters,noise_sigma,corruption_rate,imputer
noise_injection,,123,GNB,9600,2400,0.7916666666666666,0.6477272727272727,0.2958477508650519,0.4061757719714964,0.6224024703831297,0.004314400022849441,1.3996047973632812,{},0.5,0.0,none
noise_injection,,2026,LR-Newton,9600,2400,0.81875,0.7037037037037037,0.4273356401384083,0.5317545748116255,0.6851277542075137,0.08827869995729998,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",0.5,0.0,none
noise_injection,,2026,L2-LR,9600,2400,0.8158333333333333,0.7073170731707317,0.4013840830449827,0.512141280353201,0.6743473653424694,0.3629138999967836,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",0.5,0.0,none
noise_injection,,2026,LDA,9600,2400,0.81125,0.6996805111821086,0.3788927335640138,0.4915824915824915,0.663650538022402,0.0038719000294804573,1.5784683227539062,{},0.5,0.0,none
noise_injection,,2026,GNB,9600,2400,0.7908333333333334,0.6428571428571429,0.2958477508650519,0.4052132701421801,0.6218536229627125,0.0024834999931044877,1.3996047973632812,{},0.5,0.0,none
noise_injection,,13,LR-Newton,9600,2400,0.81375,0.6920821114369502,0.4083044982698962,0.5136017410228509,0.6753377595630491,0.08671790000516921,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",1.0,0.0,none
noise_injection,,13,L2-LR,9600,2400,0.8116666666666666,0.6993670886075949,0.38235294117647056,0.49440715883668906,0.665106218118422,0.323282899975311,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",1.0,0.0,none
noise_injection,,13,LDA,9600,2400,0.8041666666666667,0.6764705882352942,0.35813148788927335,0.4683257918552036,0.6518977966339891,0.004040599975269288,1.5784683227539062,{},1.0,0.0,none
noise_injection,,13,GNB,9600,2400,0.79,0.6380597014925373,0.2958477508650519,0.40425531914893614,0.6213047755422954,0.003582299978006631,1.3996047973632812,{},1.0,0.0,none
noise_injection,,42,LR-Newton,9600,2400,0.81,0.6848484848484848,0.39100346020761245,0.4977973568281938,0.6669616642421158,0.05520210001850501,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",1.0,0.0,none
noise_injection,,42,L2-LR,9600,2400,0.8075,0.6933333333333334,0.35986159169550175,0.4738041002277905,0.6546838145085632,0.269062900042627,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",1.0,0.0,none
noise_injection,,42,LDA,9600,2400,0.7979166666666667,0.658703071672355,0.33391003460207613,0.4431687715269805,0.6395126462801819,0.003308099985588342,1.5784683227539062,{},1.0,0.0,none
noise_injection,,42,GNB,9600,2400,0.79,0.6380597014925373,0.2958477508650519,0.40425531914893614,0.6213047755422954,0.0031705999863334,1.3996047973632812,{},1.0,0.0,none
noise_injection,,77,LR-Newton,9600,2400,0.8133333333333334,0.6900584795321637,0.4083044982698962,0.5130434782608696,0.6750633358528405,0.057924199965782464,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",1.0,0.0,none
noise_injection,,77,L2-LR,9600,2400,0.81,0.6918238993710691,0.3806228373702422,0.49107142857142855,0.6634178950846821,0.27544629998737946,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",1.0,0.0,none
noise_injection,,77,LDA,9600,2400,0.7966666666666666,0.6510067114093959,0.3356401384083045,0.4429223744292237,0.6392800033424618,0.0031703999848105013,1.5784683227539062,{},1.0,0.0,none
noise_injection,,77,GNB,9600,2400,0.79,0.6380597014925373,0.2958477508650519,0.40425531914893614,0.6213047755422954,0.0028043000493198633,1.3996047973632812,{},1.0,0.0,none
noise_injection,,123,LR-Newton,9600,2400,0.815,0.6936416184971098,0.41522491349480967,0.5194805194805194,0.6785235434652973,0.05793819995597005,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",1.0,0.0,none
noise_injection,,123,L2-LR,9600,2400,0.8141666666666667,0.7037037037037037,0.3944636678200692,0.5055432372505543,0.6708871577300126,0.28030450001824647,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",1.0,0.0,none
noise_injection,,123,LDA,9600,2400,0.80625,0.6816720257234726,0.36678200692041524,0.47694038245219345,0.65622305614956,0.003326500009279698,1.5784683227539062,{},1.0,0.0,none
noise_injection,,123,GNB,9600,2400,0.7904166666666667,0.6404494382022472,0.2958477508650519,0.40473372781065087,0.6215791992525039,0.0028673000051639974,1.3996047973632812,{},1.0,0.0,none
noise_injection,,2026,LR-Newton,9600,2400,0.8116666666666666,0.6863905325443787,0.4013840830449827,0.5065502183406113,0.6716031282403838,0.06624439998995513,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",1.0,0.0,none
noise_injection,,2026,L2-LR,9600,2400,0.80875,0.6938110749185668,0.3685121107266436,0.4813559322033898,0.658460226603717,0.5069001000374556,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",1.0,0.0,none
